,Compound,Date,Negative,Neutral,Positive,Tweet,User
127,-0.4404,Mon Jan 15 03:06:51 +0000 2018,0.139,0.861,0.0,Republican Sen. Jeff Flake expected to deliver floor speech comparing Donald Trump's attacks on media to the rhetor… https://t.co/YdvUmj4SWe,CNN
128,0.7506,Mon Jan 15 02:58:02 +0000 2018,0.0,0.766,0.234,"Pope Francis' trip to South America this week is supposed to be all about peace, unity and hope. But the pontiff co… https://t.co/7ahjjpVlOA",CNN
129,-0.5423,Mon Jan 15 02:48:54 +0000 2018,0.41,0.432,0.158,What went wrong with Hawaii's false emergency alert https://t.co/fjy61y5FMG,CNN
130,0.0,Mon Jan 15 02:30:04 +0000 2018,0.0,1.0,0.0,Lawmakers bemoan backlash over President Trump's comments amid bipartisan push for DACA deal https://t.co/D7aieSPe9j https://t.co/GhpLsBugxt,CNN
131,-0.6908,Mon Jan 15 02:30:04 +0000 2018,0.231,0.769,0.0,This is how the missile detection and emergency messaging systems are supposed to work — and what went wrong in Haw… https://t.co/7iVBPidjFw,CNN
132,0.0,Mon Jan 15 02:25:51 +0000 2018,0.0,1.0,0.0,"'This place is a shithole' projected onto Trump hotel, with emojis https://t.co/DWVdDmSPUk",CNN
133,0.1779,Mon Jan 15 02:08:25 +0000 2018,0.0,0.909,0.091,"A growing movement is targeting single-use plastic straws, which are not recyclable and often end up littering the… https://t.co/IdAcBXI7vh",CNN
134,0.0,Mon Jan 15 02:00:20 +0000 2018,0.0,1.0,0.0,"Donald Trump owes each and every American money, writes Dean Obeidallah for @CNNOpinion https://t.co/m6JA2YQRuw https://t.co/HIKd2YKp2g",CNN
135,0.0772,Mon Jan 15 01:54:22 +0000 2018,0.0,0.925,0.075,Palestinian Authority President Mahmoud Abbas appears to have confirmed reports that the Trump administration has e… https://t.co/IarWjcTR36,CNN
136,0.296,Mon Jan 15 01:39:04 +0000 2018,0.0,0.891,0.109,"""They made a mistake."" Donald Trump makes first comments about the false ballistic missile alert sent out by Hawaii… https://t.co/h2DXwJFtX2",CNN
137,-0.6705,Mon Jan 15 01:30:08 +0000 2018,0.243,0.757,0.0,Nearly 180 people have been killed in Syria's Eastern Ghouta in two weeks https://t.co/h12qDm3sdI https://t.co/H47o7fn2u4,CNN
138,0.4215,Mon Jan 15 01:15:01 +0000 2018,0.0,0.882,0.118,"A member of Qatar's royal family has said he is being held against his will in the United Arab Emirates, a claim di… https://t.co/oZpLazCALD",CNN
139,0.0,Mon Jan 15 01:06:43 +0000 2018,0.0,1.0,0.0,US President Donald Trump defended himself on Sunday night after several days of controversy over his remarks about… https://t.co/fDuwcKRkc9,CNN
140,0.0,Mon Jan 15 04:03:04 +0000 2018,0.0,1.0,0.0,Reflections from Afghanistan https://t.co/awlHj6pXwm https://t.co/jr3QQ8iq53,CBSNews
141,0.0,Mon Jan 15 03:48:06 +0000 2018,0.0,1.0,0.0,Drawing the lines on gerrymandering https://t.co/aFi2sNK8Cc https://t.co/b1FU08Yshc,CBSNews
142,0.0,Mon Jan 15 03:46:04 +0000 2018,0.0,1.0,0.0,Aziz Ansari responds to woman's claim of sexual misconduct https://t.co/oD4RUWfHYo https://t.co/sxv1FNiim1,CBSNews
143,0.0,Mon Jan 15 03:33:05 +0000 2018,0.0,1.0,0.0,"Oprah Winfrey on ""Time's Up"": Where do we go from here? https://t.co/bB4sn21HFy https://t.co/82hHo946SD",CBSNews
144,-0.296,Mon Jan 15 03:18:10 +0000 2018,0.136,0.864,0.0,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/J3eGgmG0rW https://t.co/tuYvIPzN5z",CBSNews
145,-0.3182,Mon Jan 15 03:14:05 +0000 2018,0.24,0.599,0.162,U.K. party suspends leader's girlfriend over racist Meghan Markle remarks https://t.co/6Vu18bvGiS https://t.co/Pvneco0nFr,CBSNews
146,0.0,Mon Jan 15 03:03:05 +0000 2018,0.0,1.0,0.0,"Jaguars edge out Steelers 45-42, will meet Patriots for AFC title game https://t.co/TQr5kInUoF https://t.co/Fjl9N5rLji",CBSNews
147,0.6298,Mon Jan 15 02:57:26 +0000 2018,0.089,0.66,0.25,"""I am not a racist. I am the least racist person you have ever interviewed."" Pres. Trump responds to accusations of… https://t.co/WpIzABa5zl",CBSNews
148,-0.8934,Mon Jan 15 02:40:01 +0000 2018,0.433,0.567,0.0,Detectives probe claim that disgraced former politician Elliot Spitzer wanted to stab man during irate interaction… https://t.co/sfXwigqrfA,CBSNews
149,0.4973,Mon Jan 15 02:21:32 +0000 2018,0.0,0.855,0.145,President Trump says he's not a racist days after his reported use of vulgar language to describe immigrants from A… https://t.co/k2ZZQM0UZK,CBSNews
150,0.1779,Mon Jan 15 02:00:01 +0000 2018,0.0,0.918,0.082,Driver trying to make an escape in NYC's Times Square hit a police officer with his car before speeding off… https://t.co/brvJXUDKli,CBSNews
151,-0.6908,Mon Jan 15 01:40:01 +0000 2018,0.275,0.725,0.0,Former NBA star Dennis Rodman has been arrested on suspicion of DUI in Southern California https://t.co/a1Jrv9NEmv https://t.co/f23KGV8zmG,CBSNews
152,-0.6705,Mon Jan 15 01:20:01 +0000 2018,0.243,0.757,0.0,"Married couple killed as Amtrak train hits SUV in North Carolina, authorities say https://t.co/0DMiXjvmxu https://t.co/tRxRokswIx",CBSNews
153,0.0,Mon Jan 15 01:00:01 +0000 2018,0.0,1.0,0.0,"Is Portland still Portlandia? For years, the city has been the symbol for laid-back, inexpensive quirkiness, but it… https://t.co/CIvb18AOmO",CBSNews
154,-0.128,Mon Jan 15 00:40:00 +0000 2018,0.077,0.923,0.0,"It may mostly be propaganda when North Korea boasts about its nuclear capabilities, but one American scientist says… https://t.co/phGnlcYC2S",CBSNews
155,-0.5994,Mon Jan 15 00:20:03 +0000 2018,0.157,0.843,0.0,"In 16 years, the Afghan War has cost 2,400 American lives and $1 trillion. But with the country's capital under sie… https://t.co/sTj39YAIae",CBSNews
156,0.2732,Mon Jan 15 00:00:01 +0000 2018,0.0,0.896,0.104,"Portland is known for its civic responsibility and tolerant disposition. Yet last May, the city also witnessed a ho… https://t.co/cYQMbwK08w",CBSNews
157,0.0,Sun Jan 14 23:47:26 +0000 2018,0.0,1.0,0.0,"Footage shows firefighters responding to a casino boat engulfed in flames near Port Richey, Florida. Dozens of peop… https://t.co/g2hOxRv8HO",CBSNews
158,0.4588,Sun Jan 14 23:21:01 +0000 2018,0.0,0.833,0.167,North Korea has been boasting about its growing nuclear arsenal for years. To make sure the US got the message that… https://t.co/t8qPSfrtMQ,CBSNews
159,-0.5994,Sun Jan 14 22:41:01 +0000 2018,0.163,0.837,0.0,"The war in Afghanistan is the longest in US history. After 16 years, a trillion dollars and 2400 American lives, th… https://t.co/BOYYHwOKVi",CBSNews
160,-0.1531,Mon Jan 15 04:16:07 +0000 2018,0.19,0.652,0.158,Poll: Do you think race relations in the U.S. are good or bad? https://t.co/ydWt1XLpQr,FoxNews
161,0.0,Mon Jan 15 04:12:03 +0000 2018,0.0,1.0,0.0,"This morning, President @realDonaldTrump declared that ""DACA is probably dead."" https://t.co/rmJNZSMcH1 https://t.co/iMXz7UKLIg",FoxNews
162,0.3612,Mon Jan 15 04:06:05 +0000 2018,0.0,0.884,0.116,".@DiamondandSilk: ""It sounds like @BarackObama is living on a planet in La La Land. He's the one who's running arou… https://t.co/cSbitN4GZo",FoxNews
163,-0.6124,Mon Jan 15 04:00:04 +0000 2018,0.267,0.733,0.0,"On @FoxNewsSunday, California @AGBecerra stated that President @realDonaldTrump is a racist. https://t.co/uWy1ElA9il https://t.co/6BZiApqAL4",FoxNews
164,-0.7048,Mon Jan 15 03:55:06 +0000 2018,0.218,0.782,0.0,"Joe Arpaio on running for Senate in Arizona: ""I never had a hero, it took me 75 years to find a hero, and that's… https://t.co/3ikhbqRzNq",FoxNews
165,0.0,Mon Jan 15 03:47:00 +0000 2018,0.0,1.0,0.0,"Drugged driver crashes car into second story of California building, officials say https://t.co/wUmpA3CPHT",FoxNews
166,-0.296,Mon Jan 15 03:41:00 +0000 2018,0.167,0.833,0.0,Georgia high school janitor accused of spying on girl's locker room https://t.co/noz0j8ezp2,FoxNews
167,0.1531,Mon Jan 15 03:36:00 +0000 2018,0.0,0.882,0.118,"Palestinian leader Abbas rips Trump, vows 'we will slap back' at president https://t.co/9jOdqPJCKb",FoxNews
168,-0.079,Mon Jan 15 03:31:00 +0000 2018,0.116,0.884,0.0,Thai junta boss eyes staying on with little stopping him https://t.co/wnTAXck6Qy,FoxNews
169,0.0,Mon Jan 15 03:25:06 +0000 2018,0.0,1.0,0.0,"Rescuers search homes off East Valley Road in Montecito, California after deadly mudslides pummeled parts of Southe… https://t.co/TFhJjYDoUc",FoxNews
170,-0.7579,Mon Jan 15 03:25:03 +0000 2018,0.371,0.629,0.0,Hawaii's false missile threat: Worker who pushed wrong button to be reassigned https://t.co/eHb9oquMzb,FoxNews
171,-0.4215,Mon Jan 15 03:15:00 +0000 2018,0.196,0.714,0.089,"GOP senator Perdue comes to Trump's defense after 's---hole' outcry, questions Durbin's credibility https://t.co/27zpSBRH9l",FoxNews
172,0.0,Mon Jan 15 03:08:23 +0000 2018,0.125,0.75,0.125,".@CortesSteve: Instead of criticizing @realDonaldTrump on immigration issues, we should thank him for doing his job https://t.co/0veqK9tX4p",FoxNews
173,0.0,Mon Jan 15 03:06:53 +0000 2018,0.0,1.0,0.0,"RT @FoxNewsResearch: ISIS-related cases in the U.S. →
•42% of cases involved individuals born outside U.S.
•Most common countries of origin…",FoxNews
174,0.1139,Mon Jan 15 03:05:02 +0000 2018,0.0,0.929,0.071,JANUARY 20th: @TeamCavuto is LIVE in Washington for 2 hours - Don't miss #Cavuto Live every Saturday from 10a to 12… https://t.co/BpGDGHakWQ,FoxNews
175,-0.6908,Mon Jan 15 02:57:00 +0000 2018,0.322,0.678,0.0,Liam Neeson sees 'a bit of a witch hunt' in Hollywood's sexual misconduct scandals https://t.co/lEs1xT2eu8,FoxNews
176,0.0,Mon Jan 15 02:49:00 +0000 2018,0.0,1.0,0.0,Medieval Times introduces female lead for first time in 34-year history https://t.co/vAd5UOTRZu,FoxNews
177,0.0,Mon Jan 15 02:45:12 +0000 2018,0.0,1.0,0.0,Koreas discuss Northern art troupe's planned visit during Olympics https://t.co/6YDNdPJYKq,FoxNews
178,0.0,Mon Jan 15 02:32:22 +0000 2018,0.0,1.0,0.0,".@ConanOBrien jabs @realDonaldTrump, announces he's taking his show to Haiti https://t.co/JlPGH4gvzM",FoxNews
179,0.0,Mon Jan 15 02:22:59 +0000 2018,0.0,1.0,0.0,".@LucyFlores on DACA: ""You're not against Dreamers because you're not for spending unnecessary tax dollars... what… https://t.co/J7w7vLw0Uc",FoxNews
180,0.6124,Mon Jan 15 04:07:54 +0000 2018,0.0,0.706,0.294,"Doug Harvey, Hall of Fame Umpire Whom Players Called God, Dies at 87 https://t.co/4MND81qAdm",nytimes
181,-0.5719,Mon Jan 15 03:57:48 +0000 2018,0.27,0.73,0.0,"In Iran, Protester ‘Suicides’ Stir Anger and Calls for Accountability https://t.co/ipFcTXrdPU",nytimes
182,-0.2263,Mon Jan 15 03:54:37 +0000 2018,0.128,0.872,0.0,"The Saturday Profile: Cairo’s Lawsuit King Sues Actors, Belly Dancers, Even Puppet Shows https://t.co/9aTTItWgPH",nytimes
183,-0.6808,Mon Jan 15 03:47:51 +0000 2018,0.25,0.672,0.078,"When a woman was raped in a Brooklyn park in 1994, a columnist called it a hoax. But new DNA testing has solved the… https://t.co/r9ymHZJG43",nytimes
184,0.0,Mon Jan 15 03:31:40 +0000 2018,0.0,1.0,0.0,Review: A Fantasy Town Builds a Wall Against Time in ‘Ballyturk’ https://t.co/DX8gucTmZA,nytimes
185,0.0,Mon Jan 15 03:30:20 +0000 2018,0.0,1.0,0.0,Go gray https://t.co/nXX1Fg4cXh,nytimes
186,0.1531,Mon Jan 15 03:11:26 +0000 2018,0.108,0.743,0.149,False Missile Alert Looms as a Black Eye for Hawaii and Its Governor https://t.co/cKivw4Lp8R,nytimes
187,-0.5994,Mon Jan 15 03:08:23 +0000 2018,0.262,0.738,0.0,Secret Tunnel in Berlin Is an Echo From the Cold War https://t.co/6TP8ugbXRc,nytimes
188,-0.3818,Mon Jan 15 02:59:58 +0000 2018,0.178,0.822,0.0,"RT @nytimesarts: In the battle of the peak-TV queens, it's Victoria's turn https://t.co/JJ8nOjD3sw",nytimes
189,-0.2782,Mon Jan 15 02:42:05 +0000 2018,0.136,0.767,0.097,"""We fully felt like we were about to die. I drove to try to get to my kids even though I knew I probably wouldn't m… https://t.co/7QiaxcR3Kp",nytimes
190,-0.34,Mon Jan 15 02:22:26 +0000 2018,0.211,0.789,0.0,"‘I’m Not a Racist,’ Trump Says in Denying Vulgar Comment https://t.co/ZKVU1jeUvj",nytimes
191,0.5574,Mon Jan 15 02:09:54 +0000 2018,0.085,0.682,0.233,"Male sea turtles are disappearing from Australia’s Great Barrier Reef, a new study suggests https://t.co/zjW4rysnUz",nytimes
192,0.0,Mon Jan 15 01:55:56 +0000 2018,0.0,1.0,0.0,"Breaking News: ""I'm not a racist."" President Trump insisted again on Sunday that he did not make a vulgar comment l… https://t.co/NUWF6ipxCm",nytimes
193,-0.3818,Mon Jan 15 01:49:14 +0000 2018,0.224,0.776,0.0,Vikings Shock Saints on Last-Second Touchdown by Stefon Diggs https://t.co/l8VlsKxwQe,nytimes
194,0.0,Mon Jan 15 01:41:54 +0000 2018,0.0,1.0,0.0,"""You can't look down to read the speech, you have to take the speech up. Because if you did your neck would break.""… https://t.co/CqxEpjEwpZ",nytimes
195,0.0,Mon Jan 15 01:22:55 +0000 2018,0.0,1.0,0.0,"""You can't look down to read the speech, you have to take the speech up. Because if you did your neck would break.""… https://t.co/yan4tsOORc",nytimes
196,-0.296,Mon Jan 15 01:04:22 +0000 2018,0.109,0.891,0.0,President Trump accused The Wall Street Journal of purposely misquoting him. The Journal responded by posting an au… https://t.co/HhluE5bIs5,nytimes
197,0.0,Mon Jan 15 00:47:03 +0000 2018,0.0,1.0,0.0,Essay: The Poet of Light https://t.co/2vn1TEtBSN,nytimes
198,-0.6529,Mon Jan 15 00:41:27 +0000 2018,0.289,0.633,0.078,"""The risk of accidental nuclear war is not hypothetical — accidents have happened in the past, and humans will err… https://t.co/uetTDZsMuI",nytimes
199,-0.5994,Mon Jan 15 00:24:05 +0000 2018,0.281,0.719,0.0,Military Quietly Prepares for a Last Resort: War With North Korea https://t.co/wS6mIkgOHl,nytimes
200,-0.6486,Sun Jan 14 10:30:08 +0000 2018,0.249,0.751,0.0,"The world has entered a new era of conflict – offensive cyber-attacks aimed at infrastructure and society, all done… https://t.co/Z63a1IY29o",BBC
201,0.5719,Sun Jan 14 10:09:01 +0000 2018,0.0,0.748,0.252,Here's the moment @ThisIsSigrid found out she'd won @BBCMusic's #SoundOf2018. 😢🎶 https://t.co/3Rc2K6dwMS,BBC
202,0.0,Sun Jan 14 09:47:01 +0000 2018,0.0,1.0,0.0,"Fancy a game of punchball, anyone?! #TheGNShow 🎾 https://t.co/ZVKfXsNmqf",BBC
203,0.0,Sun Jan 14 09:38:16 +0000 2018,0.0,1.0,0.0,RT @BBCSpringwatch: Who's been visiting your garden this winter? https://t.co/Tn7VwADqMZ https://t.co/MjSNAC8E4D,BBC
204,0.6705,Sun Jan 14 09:17:02 +0000 2018,0.0,0.56,0.44,Ready to bounce back after the festive season? https://t.co/4w9fbd628g,BBC
205,0.7469,Sun Jan 14 09:11:08 +0000 2018,0.0,0.761,0.239,"RT @bbcgetinspired: Keith Lynch was told he might never walk again - but now he's a champion climber.

➡ https://t.co/u9Q8KeuwJd #GetInspir…",BBC
206,-0.3612,Sun Jan 14 08:30:05 +0000 2018,0.135,0.865,0.0,Unleash your inner sloth &amp; discover why being lazy could actually be the ultimate evolutionary strategy.… https://t.co/HhrOt8wfHV,BBC
207,-0.6705,Sun Jan 14 08:00:02 +0000 2018,0.244,0.756,0.0,More than half a million tonnes of plastic and other untreated waste is dumped into the Ganges each year. https://t.co/fqsGo3x3F9,BBC
208,0.4215,Sat Jan 13 19:30:06 +0000 2018,0.0,0.714,0.286,"Saved by the whale 🐋❤️️

Via @BBCNews https://t.co/qHPJvDmmit",BBC
209,0.5106,Sat Jan 13 19:03:03 +0000 2018,0.0,0.845,0.155,Go behind-the-scenes with @Madonna as she travels the world to perform her new hits and beloved classics. 💖 🎤 🎶… https://t.co/RsgmHhA1m7,BBC
210,-0.6597,Sat Jan 13 18:30:03 +0000 2018,0.231,0.769,0.0,"Has a fear of flying shrunk your world? ✈️😱

Here are three tips for anyone worried about getting on a plane. https://t.co/hLIyaAseXB",BBC
211,-0.5095,Sat Jan 13 18:00:09 +0000 2018,0.141,0.859,0.0,"London's Marylebone Road &amp; Hyde Park Corner have the most polluted postcodes in Britain. 💨😷

How does your area mea… https://t.co/86YDrw6bLy",BBC
212,0.4939,Sat Jan 13 17:30:07 +0000 2018,0.0,0.862,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/FpBTlGZaQe",BBC
213,-0.3182,Sat Jan 13 17:02:01 +0000 2018,0.157,0.697,0.146,Jack has just reached the UK after being rescued from a dog meat farm in South Korea where 2.5m dogs are killed eve… https://t.co/T5IzeUxMEf,BBC
214,0.2869,Sat Jan 13 16:30:06 +0000 2018,0.0,0.874,0.126,"What am I? 🤔 

Know the answer? See if you can solve these other riddles. 👉 https://t.co/EpDXFLZv93 https://t.co/gMh31MVl5K",BBC
215,0.0,Sat Jan 13 16:00:15 +0000 2018,0.0,1.0,0.0,🌍❤️️ @BBC_Travel gives us 50 reasons to #LoveTheWorld. 👉 https://t.co/DUCHRV07yR https://t.co/UQp3h6sHf2,BBC
216,0.0,Sat Jan 13 15:30:05 +0000 2018,0.0,1.0,0.0,"🍋 Italian-style tart with a lemon and cinnamon custard topped with lemony pastry. 😚👌

See the @HairyBikers' Torta m… https://t.co/iXhVPCyiLG",BBC
217,0.0,Sat Jan 13 15:22:58 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: Just waiting on that @NiallOfficial and @ShawnMendes collab now 💗👀

https://t.co/WrwoCwK5At",BBC
218,0.6113,Sat Jan 13 15:00:03 +0000 2018,0.0,0.734,0.266,Why are ultra-Orthodox Jewish families so impressed with the Essex seaside? https://t.co/tP0BolKFPz,BBC
219,0.6369,Sat Jan 13 14:00:08 +0000 2018,0.0,0.794,0.206,🧀🤤 The diverse &amp; exciting cheeses of the world wouldn't exist if humans hadn't learned how to take advantage of mic… https://t.co/lW4LIm5MB6,BBC
220,0.0,Mon Jan 15 01:00:17 +0000 2018,0.0,1.0,0.0,A bipartisan group of New Jersey elected officials has teamed up to oppose President Trump's offshore drilling prop… https://t.co/CGFm69CuTg,CNN
221,0.4973,Mon Jan 15 00:56:20 +0000 2018,0.0,0.861,0.139,"""I am the least racist person you have ever interviewed."" 

US President Donald Trump tells reporters he is ""not a… https://t.co/lVHf3DgznS",CNN
222,-0.4404,Mon Jan 15 00:30:13 +0000 2018,0.146,0.854,0.0,Republican Sen. Jeff Flake of Arizona is expected to deliver a floor speech comparing President Trump's attacks on… https://t.co/vgFoMBXH6Z,CNN
223,0.1027,Mon Jan 15 00:15:59 +0000 2018,0.125,0.729,0.146,"Passengers swim to safety after fire on casino shuttle boat north of Tampa, Florida https://t.co/cL1r0pLwhh https://t.co/bvSiNqZt64",CNN
224,0.0,Mon Jan 15 00:00:19 +0000 2018,0.0,1.0,0.0,Facebook COO Sheryl Sandberg and Twitter CEO Jack Dorsey are off Disney's board https://t.co/U8ju0MmpcP https://t.co/nupNfNTEpB,CNN
225,0.6209,Sun Jan 14 23:30:19 +0000 2018,0.066,0.701,0.233,"As a citizen of Norway, I can tell you we're not flattered, but offended by President Trump's eagerness to have us… https://t.co/xfkngzkOJ5",CNN
226,0.1531,Sun Jan 14 23:00:26 +0000 2018,0.0,0.897,0.103,"Republican Rep. Trey Gowdy steps down from the House Ethics Committee, citing ""challenging workload""… https://t.co/P6KESVqIna",CNN
227,0.4019,Sun Jan 14 22:45:11 +0000 2018,0.0,0.863,0.137,"Former Secretary of State Condoleezza Rice says ""nobody should try to impede"" special counselor Robert Mueller's in… https://t.co/XJhwoPl8b9",CNN
228,0.5719,Sun Jan 14 22:30:07 +0000 2018,0.0,0.734,0.266,Here is what it was like getting a false missile alert in Hawaii https://t.co/Fdb5p3gkB8 (via @CNNOpinion),CNN
229,-0.4215,Sun Jan 14 22:15:07 +0000 2018,0.26,0.63,0.11,Former President Bill Clinton has denied accusations that his charity used donations for Haiti to pay for his daugh… https://t.co/QMdhhtwj2s,CNN
230,-0.1779,Sun Jan 14 22:00:22 +0000 2018,0.204,0.637,0.159,What it was like in Hawaii during the missile scare https://t.co/3LvS91y137 https://t.co/g3Cw5D8U0r,CNN
231,0.4939,Sun Jan 14 21:45:11 +0000 2018,0.0,0.856,0.144,"Former Massachusetts Gov. Mitt Romney texted a friend that he plans to run for Senate this year, according to a new… https://t.co/R8RHd5PGWJ",CNN
232,0.0,Sun Jan 14 21:30:40 +0000 2018,0.0,1.0,0.0,"Bill Murray debuts his Steve Bannon on ""SNL"" https://t.co/t7fEoWSvfv https://t.co/JHHg3LDfMy",CNN
233,0.0,Sun Jan 14 21:15:13 +0000 2018,0.0,1.0,0.0,Ford brings back the Ranger https://t.co/jsXQSDFQkl https://t.co/LpV0jNTNC0,CNN
234,-0.34,Sun Jan 14 21:00:03 +0000 2018,0.112,0.888,0.0,"FCC Chairman Ajit Pai says an investigation into Hawaii's false missile alarm already is showing the state lacked ""… https://t.co/VRnQ8zSMkN",CNN
235,0.0,Sun Jan 14 20:45:13 +0000 2018,0.0,1.0,0.0,Oil tanker burning in the East China Sea sinks https://t.co/1euEe3p3y3 https://t.co/QUDB7SLb4J,CNN
236,-0.2023,Sun Jan 14 20:30:04 +0000 2018,0.114,0.886,0.0,NBA Hall of Famer Dennis Rodman has been charged with DUI in California https://t.co/SC7WVnV5mv https://t.co/UXDeY8UTdY,CNN
237,0.0,Sun Jan 14 20:15:04 +0000 2018,0.0,1.0,0.0,"""The Handmaid's Tale"" season 2 has a premiere date https://t.co/tsr3hqVPP1 https://t.co/Jfd9dryyZd",CNN
238,0.0,Sun Jan 14 20:00:22 +0000 2018,0.0,1.0,0.0,"Former Secretary of State Condoleezza Rice says North Korean leader Kim Jong Un is ""turning out, much more so than… https://t.co/IugCXWZdrK",CNN
239,-0.6908,Sun Jan 14 19:45:03 +0000 2018,0.251,0.749,0.0,"Iranian President Hassan Rouhani says President Trump ""failed"" to kill off nuclear deal https://t.co/ie86Cf9DRu https://t.co/a1z7oSG0ln",CNN
240,0.0,Sun Jan 14 22:22:02 +0000 2018,0.0,1.0,0.0,Sen. Tom Cotton joined @FaceTheNation to discuss the immigration debate and the White House's handling of foreign h… https://t.co/uVoEbWZCle,CBSNews
241,-0.5994,Sun Jan 14 22:02:30 +0000 2018,0.17,0.83,0.0,The death toll in the California mudslides rises to 20 after another body was found during a search on Sunday.… https://t.co/2KkvWZs2Yx,CBSNews
242,0.0,Sun Jan 14 21:42:30 +0000 2018,0.0,1.0,0.0,WATCH: Vice President Mike Pence and Second lady Karen Pence lay a wreath at the Martin Luther King Jr. Memorial in… https://t.co/HpAbOrhV3P,CBSNews
243,0.0,Sun Jan 14 21:22:01 +0000 2018,0.0,1.0,0.0,Wake Island: Where America's day really begins (via @CBSSunday) https://t.co/GPySnDSyWU https://t.co/rWtcZILDIr,CBSNews
244,-0.6901,Sun Jan 14 20:42:01 +0000 2018,0.341,0.659,0.0,"FCC chairman Ajit Pai slams ""absolutely unacceptable"" Hawaii missile false alarm https://t.co/yTkPbHRnpc https://t.co/bqICePUA9M",CBSNews
245,-0.7579,Sun Jan 14 20:22:32 +0000 2018,0.245,0.755,0.0,WATCH: Five Axe-wielding thieves break into the Ritz Hotel in Paris and two get away with $5.4 million in stolen go… https://t.co/JmRSdi1xtA,CBSNews
246,0.1779,Sun Jan 14 20:02:01 +0000 2018,0.071,0.82,0.109,"Sharon Stone's second chance: The Oscar-nominated actress is back, following a serious brain hemorrhage, to star in… https://t.co/Ovvt9WSfd6",CBSNews
247,-0.2732,Sun Jan 14 19:42:01 +0000 2018,0.152,0.739,0.109,"Death toll from mudslides rises to 20 as recovery crews slowly make progress digging away masses of mud, boulders a… https://t.co/QGVCrbk6vS",CBSNews
248,-0.296,Sun Jan 14 19:22:00 +0000 2018,0.104,0.896,0.0,"""It was hurtful, it's harmful, it shouldn't have been said, but let's move on,"" Sen. Joe Manchin said on… https://t.co/gz4EAGBvtQ",CBSNews
249,0.0,Sun Jan 14 19:02:26 +0000 2018,0.0,1.0,0.0,How did this car go airborne and fly through a second story window? https://t.co/CQczupD4m0,CBSNews
250,-0.6705,Sun Jan 14 18:42:01 +0000 2018,0.216,0.784,0.0,"""I didn't hear it, and I was sitting no further away from Donald Trump than Dick Durbin was,"" Sen. Tom Cotton says… https://t.co/NOwrLcdh5t",CBSNews
251,0.3818,Sun Jan 14 18:22:01 +0000 2018,0.0,0.874,0.126,"Sen. Cory Gardner told @FaceTheNation that the comments were ""unbecoming"" and that he hoped to ""move beyond"" it… https://t.co/kb98yjUrYC",CBSNews
